numero_processo,nome_juiz,sentimento_medio,sentimento_mediano,qtd_movimentos,genero_juiz
00101116820218060162,José Valdecir Paulo de Sousa,1.90625,1.0,32,Masculino
00101273020208060203,,1.894736842105263,1.0,19,Indeterminado
00101416920248060301,Antonio Vandemberg Francelino Freitas,2.121212121212121,1.0,66,Masculino
00101887420228060087,Carlos César Araujo Rodrigues,1.6923076923076923,1.0,13,Masculino
00102009020208060109,Anal,2.5,2.5,10,Indeterminado
00102261420208060166,Anne Virginia do Nascimento Patrício À,1.65,1.0,60,Feminino
00102384020228060107,JOS,1.7272727272727273,1.0,11,Masculino
00102488820208060096,Antonio Glauber Catunda Peres,2.2,1.0,20,Masculino
00102873420238060176,Pedro Henrique Bento da Silva,2.2,1.0,25,Masculino
00102969320238060176,José Laércio Sousa Alves,1.9545454545454546,1.0,22,Masculino
00103042820218060051,Luís Gustavo Montezuma Herbster,2.229965156794425,3.0,287,Masculino
00103066120208060203,,2.1666666666666665,1.0,18,Indeterminado
00103087520228060101,,2.2,1.0,5,Indeterminado
00103121120208060125,##S LÚCIO PEREIRA DO NASCIMENT,1.9333333333333333,1.0,30,Indeterminado
00103152320208060203,Francisco Antonio da Silva,2.0606060606060606,1.0,33,Masculino
00103379420208060134,,3.2,4.0,5,Indeterminado
00103422520208060035,,2.1875,1.0,16,Indeterminado
00103596620208060098,,2.5833333333333335,2.5,12,Indeterminado
00104202220228060173,Gabriel Barbosa de Amorim,1.9473684210526316,1.0,19,Masculino
00104368820208060029,,2.8,3.5,10,Indeterminado
00104772920208060070,João Elias de França,2.3823529411764706,1.0,34,Masculino
00104912420218060055,Parque,1.8214285714285714,1.0,28,Indeterminado
00105781720208060151,,2.096774193548387,1.0,31,Indeterminado
00106012120248060151,Juiz,1.6153846153846154,1.0,13,Indeterminado
00106024020238060151,Wel,2.4444444444444446,2.0,18,Indeterminado
00106484420248060167,Paulo de Souza,2.2777777777777777,1.0,36,Masculino
00106631820218060070,Fernando Antonio Ribeiro de Carvalho Junior,1.3,1.0,10,Masculino
00106859320238060171,Antonio Isladio Cordeiro Araujo,2.125,1.0,8,Masculino
00107107420208060151,Francisco Erasmo Fernandes de Queiroz,2.3448275862068964,1.0,29,Masculino
00108971020218060293,Antonio Carlos Campos de Oliveira Neto,1.6885245901639345,1.0,61,Masculino
00109320420208060293,Daniel Francisco Lopes Neto,2.235294117647059,1.0,68,Masculino
00109424320238060099,Ricardo Monteiro Cavalcanti,2.2413793103448274,1.0,29,Masculino
00110182820238060112,Promo,3.0,4.0,12,Indeterminado
00110502220138060035,,2.3066666666666666,3.0,75,Indeterminado
00110762020138060035,Virgínia,2.173469387755102,3.0,98,Feminino
00111526520218060293,,2.357142857142857,1.5,14,Indeterminado
00111717120218060293,Maria de Lourdes Almeida Bezerra,2.0594059405940595,1.0,101,Feminino
00115142120168060171,Sergio Augusto Furtado Neto Viana,1.8,1.0,95,Masculino
00115518920208060112,,2.3333333333333335,1.0,9,Indeterminado
00115946520208060293,Anderson Cardoso Dias de Sousa,1.8736842105263158,1.0,95,Masculino
00116880320228060112,Antonio de Figueiredo guedes Alcoforado,2.782608695652174,4.0,23,Masculino
00121469320218060293,##non,1.8314606741573034,1.0,89,Indeterminado
00127167920218060293,,2.5833333333333335,2.5,12,Indeterminado
00127452720208060112,Francisco de Assis Barbosa Júnior,2.125,1.0,8,Masculino
00127635320218060293,Dele,2.0,1.0,49,Indeterminado
00129206320238060064,,2.1153846153846154,1.0,26,Indeterminado
00131818820218060293,Jose Almir Claudino Sales,1.9298245614035088,1.0,57,Masculino
00133533020218060293,José Olivar Fernandes Soares Filho,1.8653846153846154,1.0,52,Masculino
00133660920208060117,,2.2,1.0,10,Indeterminado
00134826720238060001,,2.1818181818181817,1.0,11,Indeterminado
00134970220248060001,Marcelo Costa da Silva,2.2857142857142856,1.0,14,Masculino
00136957320238060001,Jean Claudio Rosa Martins,2.090909090909091,1.0,33,Masculino
00137603620218060293,Francisco Jocelio Lourenço de Oliveira,1.853658536585366,1.0,41,Masculino
00138582120218060293,Antonio Leonardo Gomes Lopes,1.875,1.0,56,Masculino
00140678720218060293,Tar,2.1538461538461537,1.0,13,Indeterminado
00141527320218060293,Flávio Vinícius Alves Cordeiro,2.0172413793103448,1.0,58,Masculino
00144283920238060001,Roberto Nogueira Feijo,1.9375,1.0,16,Masculino
00144364520258060001,Amanda Maria Gadelha Miranda,1.8,1.0,15,Feminino
